Covidence #,Study ID,Title,Reviewer Name,Study ID,Title,Date of publication,Lead author contact details,Link to publication,Notes,How many different databases does the study use?,Database 1: Which country/countries are the clinical data from? ,"Database 1: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 1: If available, link the database / cohort.",Database 1: What kind of data does the database contain (multiple choice): ,Database 1: Are the data publicly available?,Database 1: Is the data collection still ongoing?,Database 2: Which country/countries are the clinical data from? ,"Database 2: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 2: If available, link the database / cohort.",Database 2: What kind of data does the database contain (multiple choice): ,Database 2: Are the data publicly available?,Database 2: Is the data collection still ongoing?,Database 3: Which country/countries are the clinical data from? ,"Database 3: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 3: If available, link the database / cohort.",Database 3: What kind of data does the database contain (multiple choice): ,Database 3: Are the data publicly available?,Database 3: Is the data collection still ongoing?,Database 4: Which country/countries are the clinical data from? ,"Database 4: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 4: If available, link the database / cohort.",Database 4: What kind of data does the database contain (multiple choice): ,Database 4: Are the data publicly available?,Database 4: Is the data collection still ongoing?
87,Wai 2023,Association of Molnupiravir and Nirmatrelvir-Ritonavir with reduced mortality and sepsis in hospitalized omicron patients: a territory-wide study.,Consensus,#87 – Wai 2023,Association of Molnupiravir and Nirmatrelvir-Ritonavir with reduced mortality and sepsis in hospitalized omicron patients: a territory-wide study,15.03.2023,"Timothy Hudson Rainer, thrainer@hku.hk",https://pubmed.ncbi.nlm.nih.gov/37188726/,"""CDARS data is not accurate enough for clinical audit..:"" https://www3.ha.org.hk/haconvention/hac2007proceedings/pdf/spp5_2_tlkwan.pdf",1,Other: Hong Kong,"Clinical 
Data Analysis and Reporting System (CDARS)",NI,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
86,Xu 2023,No genetic causal association between systemic lupus erythematosus and COVID-19.,Consensus,#86 – Xu 2023,No genetic causal association between systemic lupus erythematosus and COVID-19.,18.05.2023,"Sha-Sha Tao
taoshasha1212@126.com
Zong-Wen Shuai
shuaizongwen@ahmu.edu.cn",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10232808/,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
85,Ohl 2023,Mortality Among US Veterans Admitted to Community vs Veterans Health Administration Hospitals for COVID-19.,Consensus,#85 – Ohl 2023,Mortality Among US Veterans Admitted to Community vs Veterans Health Administration Hospitals for COVID-19.,30.05.2023,"Michael E. Ohl, MD, MSPH, Veterans Rural Health Resource Center–Iowa City, Iowa City Veterans Affairs Health Care System, 601 Highway 6 W, Bldg 42, Iowa City, IA 52246 (michael-ohl@uiowa.edu).",https://pubmed.ncbi.nlm.nih.gov/37252740/,"",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
79,Leding 2023,Treatment effect modifiers in hospitalised patients with COVID-19 receiving remdesivir and dexamethasone.,Consensus,#79 – Leding 2023,Treatment effect modifiers in hospitalised patients with COVID-19 receiving remdesivir and dexamethasone.,11.03.2023,"Cæcilie Leding, caecilie.leding@regionh.dk, Center of Research and Disruption of Infectious Diseases, Department of Infectious Diseases, Copenhagen University Hospital – Amager and Hvidovre, Kettegaard Alle 30, Hvidovre, 2650, Denmark",https://pubmed.ncbi.nlm.nih.gov/36905638/,"",1,Denmark,NI,NI,"Hospital data (electronic health record); National registries (e.g. death registry, cancer registry, etc.)",NI,NI,"","","","","","","","","","","","","","","","","",""
75,Chemaitelly 2023,Long-term COVID-19 booster effectiveness by infection history and clinical vulnerability and immune imprinting: a retrospective population-based cohort study.,Consensus,#75 – Chemaitelly 2023,Long-term COVID-19 booster effectiveness by infection history and clinical vulnerability and immune imprinting: a retrospective population-based cohort study.,10.03.2023,"Dr Hiam Chemaitelly, Infectious 
Disease Epidemiology Group, 
Weill Cornell Medicine-Qatar, 
Doha 24144, Qatar
hsc2001@qatar-med.cornell.
edu",https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(23)00058-0/fulltext,"",1,Other: Qatar,Qatar Cerner-system advanced,NI,"Hospital data (electronic health record); National registries (e.g. death registry, cancer registry, etc.)",No,Yes,"","","","","","","","","","","","","","","","","",""
74,Chan 2022,Metformin is associated with reduced COVID-19 severity in patients with prediabetes.,Consensus,#74 – Chan 2022,Metformin is associated with reduced COVID-19 severity in patients with prediabetes.,15.11.2022,"Lawrence Berkeley National Laboratory, 717 Potter St., Berkeley, CA 94710, USA. E-mail address: justinreese@lbl.gov",https://doi.org/10.1016/j.diabres.2022.110157,Currently setting up an extension.,1,USA,National COVID Cohort Collaborative (N3C),"https://covid.cd2h.org/

Data dictionary: https://ncats.nih.gov/sites/default/files/OMOP_CDM_COVID.pdf",Hospital data (electronic health record); Disease specific network (cohort study),No,Yes,"","","","","","","","","","","","","","","","","",""
68,Tagliamento 2023,Pandemic Phase-Adjusted Analysis of COVID-19 Outcomes Reveals Reduced Intrinsic Vulnerability and Substantial Vaccine Protection From Severe Acute Respiratory Syndrome Coronavirus 2 in Patients With Breast Cancer.,Consensus,#68 – Tagliamento 2023,Pandemic Phase-Adjusted Analysis of COVID-19 Outcomes Reveals Reduced Intrinsic Vulnerability and Substantial Vaccine Protection From Severe Acute Respiratory Syndrome Coronavirus 2 in Patients With Breast Cancer.,31.01.2023,"Alessio Cortellini, MD, PhD, Department of Surgery and Cancer, Imperial College London, Hammersmith Campus, London, United Kingdom; e-mail: alessiocortellini@gmail.com.",https://pubmed.ncbi.nlm.nih.gov/36720089/,"",1,"",OnCovid,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
65,Breskin 2023,Effectiveness of Remdesivir Treatment Protocols Among Patients Hospitalized with COVID-19: A Target Trial Emulation.,Consensus,#65 – Breskin 2023,Effectiveness of Remdesivir Treatment Protocols Among Patients Hospitalized with COVID-19: A Target Trial Emulation.,01.05.2023,"Correspondence: M. W. Fried, TARGET PharmaSolutions, Inc., 2520 Meridian Pkwy, Suite 105, Durham, NC 27713 (mfried@targetpharmasolutions.com).",https://academic.oup.com/cid/article/72/10/e558/5898276?login=false,"",1,USA,NI,NI,Insurance/claims data (prescription data),No,NI,"","","","","","","","","","","","","","","","","",""
63,Langer-Gould 2022,High-dose corticosteroids in patients hospitalized for COVID-19 pneumonia: an observational study of comparative effectiveness.,Consensus,#63 – Langer-Gould 2022,High-dose corticosteroids in patients hospitalized for COVID-19 pneumonia: an observational study of comparative effectiveness.,29.10.2022,"Annette Langer-Gould, Southern California Permanente Medical Group, Neurology Department, Los Angeles Medical Center, 1505 N Edgemont, 5th Floor, Los Angeles, CA 90027",https://doi.org/10.1016/j.ijid.2022.10.023,"",2,USA,KPSC Research Data Warehouse,https://www.kp-scalresearch.org/aboutus/resources-capabilities/information-and-data-resources/,Hospital data (electronic health record),No,Yes,USA,"KPNC Virtual Data Warehouse on exposures, outcomes, and covariates of interest",NI,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","",""
57,Rivera 2023,Association of statin use with outcomes of patients admitted with COVID-19: an analysis of electronic health records using superlearner.,Consensus,#57 – Rivera 2023,Association of statin use with outcomes of patients admitted with COVID-19: an analysis of electronic health records using superlearner.,24.02.2023,"Babafemi Taiwo, b-taiwo@northwestern.edu",https://doi.org/10.1186/s12879-023-08026-0,"",1,USA,"Northwestern Medicine Electronic Data 
Warehouse (NMEDW) ",https://www.feinberg.northwestern.edu/research/cores/units/edw.html,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
49,Butler-Laporte 2023,Increasing serum iron levels and their role in the risk of infectious diseases: a Mendelian randomization approach.,Consensus,#49 – Butler-Laporte 2023,Increasing serum iron levels and their role in the risk of infectious diseases: a Mendelian randomization approach.,11.02.2023,"Corresponding author. Lady Davis Institute for Medical Research, Jewish General Hospital, Pavilion H-413, 3755 Coˆte-
Ste-Catherine, Montre´ al, QC H3T 1E2, Canada. E-mail: brent.richards@mcgill.ca",https://doi.org/10.1093/ije/dyad010,"Canadian Long Study is outpatient only, so I excluded it.",2,Other: Netherlands,Amsterdam UMC,[Reuse of health care data for scientific research (amsterdamumc.org)](https://www.amsterdamumc.org/en/research/support/services-facilities/data-management/reuse-of-health-care-data-for-scientific-research.htm),Hospital data (electronic health record),No,Yes,USA,UCLA,[Design Study | ResearchGo | UCLA](https://www.researchgo.ucla.edu/design-study),Hospital data (electronic health record),No,Yes,"","","","",Other: ,Other: ,"","","","",Other: ,Other: 
48,Myers 2023,The impact of timing of initiating invasive mechanical ventilation in COVID-19-related respiratory failure.,Consensus,#48 – Myers 2023,The impact of timing of initiating invasive mechanical ventilation in COVID-19-related respiratory failure.,08.05.2023,"Kaiser Permanente Northern California Division of Research, 2000 Broadway, Oakland, CA 94612, United States of America. E-mail address: laura.c.myers@kp.org (L.C. Myers)",https://doi.org/10.1016/j.jcrc.2023.154322,"",2,USA,KPSC Research Data Warehouse,"","",Other: ,Other: ,USA,"KPNC Virtual Data Warehouse on exposures, outcomes, and covariates of interest","","",Other: ,Other: ,"","","","","","","","","","","",""
38,Long 2023,The impact of immunoglobulin G N-glycosylation level on COVID-19 outcome: evidence from a Mendelian randomization study.,Consensus,#38 – Long 2023,The impact of immunoglobulin G N-glycosylation level on COVID-19 outcome: evidence from a Mendelian randomization study.,18.08.2023,"Xia Jiang
xiajiang@scu.edu.cn
Chuanwen Fan
chuanwen.fan@liu.se
Ben Zhang
ben.zhang@scu.edu.cn",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10472139/,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","",Other: ,Other: 
37,Labor 2023,Regular Inhaled Corticosteroids Use May Protect Against Severe COVID-19 Outcome in COPD.,Consensus,#37 – Labor 2023,Regular Inhaled Corticosteroids Use May Protect Against Severe COVID-19 Outcome in COPD,07.08.2023,"Marina Labor, Cancer and Lung Health Care Unit, University Hospital in Linköping, Linköping, Sweden, Tel +46739238935
Email marina.os21@gmail.com",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10421743/,"",1,Other: Sweden,Swedish COVID-19 Investigation for Future Insights,"https://www.gu.se/en/research/scifi-pearl

https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8331198/","National registries (e.g. death registry, cancer registry, etc.); Other: Outpatient",No,NI,"","","","","","","","","","","","","","","","","",""
28,Cao 2023,Causal associations and genetic overlap between COVID-19 and intelligence.,Consensus,#28 – Cao 2023,Causal associations and genetic overlap between COVID-19 and intelligence.,07.06.2023," Fuquan Zhang, Department of Psychiatry, The Affiliated Brain Hospital of Nanjing Medical University, 264 Guangzhou Road, Nanjing
210029, China. email: zhangfq@njmu.edu.cn",https://doi.org/10.1093/qjmed/hcad122,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
27,Wang 2023,GDF-15 (a biomarker for metformin) and the risk of COVID-19: A two-sample Mendelian randomization study.,Consensus,#27 – Wang 2023,GDF-15 (a biomarker for metformin) and the risk of COVID-19: A two-sample Mendelian randomization study.,29.09.2023,"Shanyu Qin, Gastroenterology Department, The First Affiliated Hospital of Guangxi Medical University, Nanning, China (e-mail: qinshanyu@gxmu.edu.cn).",https://pubmed.ncbi.nlm.nih.gov/37773870/,"This paper is a meta-analysis. The original data set is in another paper. ""Sourced from a study by Au Yeung SL et al (PMID: 31161347)"" which paper used: the UK Biobank, Framingham Offspring Cohort, the Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS) Study, the Northern Sweden Population Health Study (NSPHS), and the Sydney Memory and Ageing Study (Sydney MAS), CARDIoGRAMplusC4D 1000 Genomes-based GWAS, DIAbetes Genetics Replication And Meta-analysis (DIAGRAM) Consortium, deCODE, Centre d’Etude du Polymorphisme Humain (CEPH), Global Lipids Genetics Consortium (GLGC), Genetic Traits (GIANT) Consortium, Breast Cancer Association Consortium (BCAC), SAIGE UK Biobank. Who's calling all these people? ;)",1,"",Covid HGI,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
22,Lu 2023,No causal association between COVID-19 and sepsis: a bidirectional two-sample Mendelian randomization study.,Consensus,#22 – Lu 2023,No causal association between COVID-19 and sepsis: a bidirectional two-sample Mendelian randomization study.,09.10.2023,"Ming Zhong
zhongming_oral@aliyun.com",https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1183489/full,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
18,Endo 2023,Association between Legionella urinary antigen tests on admission and inhospital mortality in patients with atypical pneumonia: A nationwide database study.,Consensus,#18 – Endo 2023,Association between Legionella urinary antigen tests on admission and inhospital mortality in patients with atypical pneumonia: A nationwide database study.,15.07.2023,"Masayuki Endo, Department of Clinical Epidemiology and Health Economics, School of Public Health, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-0033, Japan. E-mail: emasayuki@m.u-tokyo.ac.jp",https://journals.lww.com/ijmy/fulltext/2023/12030/association_between_legionella_urinary_antigen.20.aspx,"",1,Japan,Diagnosis Procedure Combination database,"https://www.jstage.jst.go.jp/article/ace/1/3/1_76/_pdf#:~:text=The%20Diagnosis%20Procedure%20Combination%20(DPC,system%20(DPC%2F%20PDPS).",Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
16,Pan 2023,Genetic Predisposition to Elevated Levels of Circulating ADAM17 Is Associated with the Risk of Severe COVID-19.,Consensus,#16 – Pan 2023,Genetic Predisposition to Elevated Levels of Circulating ADAM17 Is Associated with the Risk of Severe COVID-19.,01.11.2023,"Jiangming Sun, jiangming.sun@med.lu.se; Tel.: +46-(0)40-331403",https://pubmed.ncbi.nlm.nih.gov/37958866/,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
6,Lee 2023,Cardiovascular outcomes between COVID-19 and non-COVID-19 pneumonia: a nationwide cohort study.,Consensus,#6 – Lee 2023,Cardiovascular outcomes between COVID-19 and non-COVID-19 pneumonia: a nationwide cohort study,20.10.2023,"Sun‑Young Jung - jsyoung@cau.ac.kr, Won‑Young Kim - wykim81@cau.ac.k",https://doi.org/10.1186/s12916-023-03106-z,"",1,South Korea,Korean National Health Insurance Service (NHIS) database,NI,Insurance/claims data (prescription data),No,Yes,"","","","","","","","","","","","","","","","","",""
